id,age_of_acquisition,word,concept
1534,5.94,root,ROOT [670]
1535,5.94,wrist,WRIST [799]
1536,5.94,weather,WEATHER [952]
1537,5.9,travel,TRAVEL [3665]
1538,5.89135,twice,TWICE [1546]
1539,5.89135,until,UNTIL [2753]
1540,5.89135,thought,THOUGHT [2975]
1541,5.89,noon,MIDDAY [12]
1542,5.89,female,FEMALE [1551]
1543,5.89,yolk,YOLK [1556]
1544,5.89,grandson,GRANDSON [1618]
1545,5.89,club,CLUB [1763]
1546,5.89,west,WEST [1817]
1547,5.89,calendar,CALENDAR [1967]
1548,5.89,life,LIFE [210]
1549,5.89,shave,SHAVE [231]
1550,5.89,paw,PAW [2965]
1551,5.89,lightbulb,LIGHTBULB [4000]
1552,5.89,drip,DRIP (FALL IN GLOBULES) [808]
1553,5.89,creek,CREEK (TIDAL) [990]
1554,5.88,tortoise,TORTOISE [895]
1555,5.870036,eighty,EIGHTY [1722]
1556,5.86,work,WORK (LABOUR) [984]
1557,5.85,hour,HOUR [1353]
1558,5.85,become,BECOME [1990]
1559,5.85,difficult,DIFFICULT [584]
1560,5.84,nurse,NURSE [1104]
1561,5.84,wide,WIDE [1243]
1562,5.84,tap,FAUCET [1488]
1563,5.84,fever,FEVER [1534]
1564,5.84,evening,EVENING [1629]
1565,5.84,carriage,CARRIAGE [2620]
1566,5.84,date,DATE (FRUIT) [3801]
1567,5.84,sore,SORE [51]
1568,5.84,cause,CAUSE [860]
1569,5.838065,below,BELOW OR UNDER [1485]
1570,5.838065,lay,LAY (VERB) [2071]
1571,5.83,join,JOIN [1743]
1572,5.83,eagle,EAGLE [1905]
1573,5.83,marry,MARRY [203]
1574,5.83,seahorse,SEAHORSE [2586]
1575,5.83,jug,JUG [270]
1576,5.83,sack,SACK [2990]
1577,5.83,oar,OAR [3137]
1578,5.83,vest,VEST [3140]
1579,5.83,liquid,LIQUID [58]
1580,5.816751,through,THROUGH [97]
1581,5.81,breath,BREATH [870]
1582,5.8,eyelash,EYELASH [1540]
1583,5.8,castle,FORTRESS [1938]
1584,5.8,clear,CLEAR [989]
1585,5.79,important,IMPORTANT [1285]
1586,5.79,month,MONTH [1370]
1587,5.79,visit,VISIT [1377]
1588,5.79,snail,SNAIL [1543]
1589,5.79,ache,ACHE [1815]
1590,5.79,pray,PRAY [24]
1591,5.79,channel,CHANNEL [2423]
1592,5.79,leash,LEASH [2959]
1593,5.79,growl,GROWL [3679]
1594,5.79,shine,SHINE [708]
1595,5.79,fry,FRY [991]
1596,5.78478,eleven,ELEVEN [1706]
1597,5.78478,again,AGAIN [204]
1598,5.78,camp,CAMP [1105]
1599,5.78,fart,FART [1159]
1600,5.78,butter,BUTTER [1245]
1601,5.78,mistake,MISTAKE [1293]
1602,5.78,newspaper,NEWSPAPER [1298]
1603,5.78,believe,BELIEVE [1890]
1604,5.78,lose,MISPLACE [3072]
1605,5.78,footprint,FOOTPRINT [318]
1606,5.78,beg,BEG [3534]
1607,5.78,mush,MUSH (FOOD) [3651]
1608,5.78,celery,CELERY [3727]
1609,5.78,grasshopper,GRASSHOPPER [607]
1610,5.78,find,FIND [719]
1611,5.78,shop,SHOP [746]
1612,5.78,cabbage,CABBAGE [774]
1613,5.763466,backward,BACKWARD [2911]
1614,5.763466,peacock,PEACOCK [3382]
1615,5.76,brain,BRAIN [1583]
1616,5.76,starfish,STARFISH [3032]
1617,5.742152,sixty,SIXTY [1718]
1618,5.74,gray,GREY [153]
1619,5.74,lock,LOCK [1596]
1620,5.74,moth,MOTH [2828]
1621,5.74,gorilla,GORILLA [3144]
1622,5.74,robber,ROBBER [3376]
1623,5.74,hound,HUNTING DOG [3380]
1624,5.74,crow,CROW [913]
1625,5.74,beast,WILD ANIMAL [958]
1626,5.72,match,MATCH [1133]
1627,5.72,beautiful,BEAUTIFUL [1427]
1628,5.72,anchor,ANCHOR [1870]
1629,5.72,sunrise,SUNRISE [2296]
1630,5.72,spread,SPREAD OUT [38]
1631,5.72,cucumber,CUCUMBER [496]
1632,5.71,helmet,HELMET [1680]
1633,5.69,slice,SLICE [2954]
1634,5.68,send,SEND [1127]
1635,5.68,vomit,VOMIT [1278]
1636,5.68,flat,FLAT [1633]
1637,5.68,bracelet,BRACELET [1754]
1638,5.68,piglet,PIGLET [2564]
1639,5.68,penguin,PENGUIN [2831]
1640,5.68,item,ITEM [2981]
1641,5.68,scarf,SCARF OR TURBAN [3066]
1642,5.68,umbrella,UMBRELLA [3105]
1643,5.68,scar,SCAR [497]
1644,5.68,pebble,PEBBLES [961]
1645,5.67,oven,OVEN [1143]
1646,5.67,wife,WIFE [1199]
1647,5.67,basket,BASKET [1539]
1648,5.67,skirt,SKIRT [1600]
1649,5.67,promise,PROMISE [1675]
1650,5.67,cost,COST [242]
1651,5.67,tinkle,TINKLE [2888]
1652,5.67,space,SPACE (AVAILABLE) [3006]
1653,5.67,panda,PANDA [3951]
1654,5.67,enter,ENTER [749]
1655,5.65,mule,MULE [890]
1656,5.646239,august,AUGUST [2851]
1657,5.63,male,MALE [1553]
1658,5.63,blink,BLINK [1655]
1659,5.63,bead,BEAD [1860]
1660,5.63,fan,FAN (OBJECT) [1971]
1661,5.63,pork,PORK [2769]
1662,5.63,pole,POST [281]
1663,5.63,wake,WAKE UP (SOMEONE) [3174]
1664,5.63,mighty,MIGHTY OR POWERFUL OR STRONG [3188]
1665,5.63,remember,REMEMBER [707]
1666,5.624925,same,SAME [200]
1667,5.62,friendship,FRIENDSHIP [3954]
1668,5.614268,everywhere,EVERYWHERE [2999]
1669,5.61,smooth,SMOOTH [1234]
1670,5.61,thick,THICK [1244]
1671,5.61,scratch,SCRATCH [1436]
1672,5.61,bucket,BUCKET [2052]
1673,5.61,metal,METAL [2244]
1674,5.61,sharpen,SHARPEN (SOMETHING) [251]
1675,5.61,strap,STRAP [2973]
1676,5.61,freckle,FRECKLE [530]
1677,5.61,return,COME BACK [581]
1678,5.6,mane,MANE [1918]
1679,5.6,map,MAP [2625]
1680,5.6,dangerous,DANGEROUS [3466]
1681,5.58,bridge,BRIDGE [1011]
1682,5.58,forehead,FOREHEAD [123]
1683,5.58,suck,SUCK [1421]
1684,5.58,wasp,WASP [1517]
1685,5.58,gun,GUN [1566]
1686,5.58,weak,WEAK [1601]
1687,5.58,leave,LEAVE [1752]
1688,5.58,dragon,DRAGON [2038]
1689,5.58,cherry,CHERRY [2765]
1690,5.58,poison,POISON [655]
1691,5.58,battery,BATTERY [662]
1692,5.58,stir,STIR [696]
1693,5.58,parrot,PARROT [882]
1694,5.57164,left,LEFT [244]
1695,5.56,buy,BUY [1869]
1696,5.56,bend,BEND (SOMETHING) [2224]
1697,5.56,sunglasses,SUNGLASSES [3100]
1698,5.550326,fifty,FIFTY [1717]
1699,5.550326,dear,DEAR [2470]
1700,5.55,kangaroo,KANGAROO [164]
1701,5.55,holy,HOLY [1702]
1702,5.55,howl,HOWL [526]
1703,5.55,hospital,HOSPITAL [616]
1704,5.53,shoot,SHOOT [1172]
1705,5.53,husband,HUSBAND [1200]
1706,5.53,cap,CAP [1288]
1707,5.53,bone,BONE [1394]
1708,5.53,hate,HATE [1607]
1709,5.53,pine,PINE [1740]
1710,5.53,check,CHECK [1975]
1711,5.53,chick,CHICK [2512]
1712,5.53,ready,READY [790]
1713,5.529012,that,THAT [78]
1714,5.52,magic,MAGIC [392]
1715,5.5,eyebrow,EYEBROW [1173]
1716,5.5,comb,COMB [1475]
1717,5.5,spring,SPRINGTIME [1537]
1718,5.5,bake,BAKE [183]
1719,5.5,cloudy,CLOUDY [2341]
1720,5.5,broom,BROOM [245]
1721,5.5,different,DIFFERENT [2504]
1722,5.5,dizzy,GET DIZZY [2712]
1723,5.5,tube,TUBE [2956]
1724,5.5,grandparent,GRANDPARENTS [305]
1725,5.5,raincoat,RAINCOAT [3712]
1726,5.5,pinch,PINCH [378]
1727,5.5,piano,PIANO (INSTRUMENT) [3994]
1728,5.5,pay,PAY [718]
1729,5.5,shelf,SHELF [745]
1730,5.480882,saturday,SATURDAY [1700]
1731,5.47,shark,SHARK [1110]
1732,5.47,tea,TEA [1373]
1733,5.47,pepper,PEPPER [1385]
1734,5.47,fight,FIGHT [1423]
1735,5.47,otter,OTTER [15]
1736,5.47,deep,DEEP [1593]
1737,5.47,hundred,HUNDRED [1634]
1738,5.47,funny,MERRY [1976]
1739,5.47,snot,NASAL MUCUS (SNOT) [208]
1740,5.47,stretch,STRETCH [214]
1741,5.47,leak,DRIP (EMIT LIQUID) [2253]
1742,5.47,melt,MELT [2334]
1743,5.47,surprise,SURPRISE (FEELING) [3848]
1744,5.47,punishment,PUNISHMENT [390]
1745,5.47,elevator,ELEVATOR [4033]
1746,5.47,waterfall,WATERFALL [943]
1747,5.47,whale,WHALE [957]
1748,5.46507,between,BETWEEN [689]
1749,5.46,honest,HONEST [1120]
1750,5.454413,before,BEFORE [1882]
1751,5.454413,half,HALF [816]
1752,5.45,bruise,BRUISE [1148]
1753,5.45,sword,SWORD [1535]
1754,5.45,lawn,LAWN [3990]
1755,5.440134,sunday,SUNDAY [1699]
1756,5.44,rope,ROPE [1218]
1757,5.44,forgive,FORGIVE [1528]
1758,5.44,obey,OBEY [1635]
1759,5.44,proud,PROUD [174]
1760,5.44,guess,GUESS [1932]
1761,5.44,sight,SEEING (VISUAL SENSE) [2519]
1762,5.44,honey,HONEY [942]
1763,5.43,answer,ANSWER [1275]
1764,5.43,easy,EASY [686]
1765,5.42,whistle,WHISTLE [1025]
1766,5.42,squeeze,SQUEEZE [1414]
1767,5.42,hammer,HAMMER [1481]
1768,5.42,king,KING [1508]
1769,5.42,igloo,IGLOO [2592]
1770,5.42,height,HEIGHT [2985]
1771,5.42,tip,TIP (OF OBJECT) [2992]
1772,5.42,blackboard,BLACKBOARD [3084]
1773,5.42,lipstick,LIPSTICK [3093]
1774,5.42,nail,NAIL (TOOL) [502]
1775,5.42,lizard,LIZARD [632]
1776,5.42,seal,SEAL [651]
1777,5.42,beak,BEAK [73]
1778,5.42,cover,COVER [761]
1779,5.42,seagull,SEAGULL [950]
1780,5.411785,near,NEAR [1942]
1781,5.4,moustache,MOUSTACHE [1165]
1782,5.4,beginning,BEGINNING [1557]
1783,5.4,listen,LISTEN [1608]
1784,5.4,tasty,TASTY [1813]
1785,5.39,secret,SECRET [1121]
1786,5.39,float,FLOAT [1574]
1787,5.39,pony,FOAL [1647]
1788,5.39,pass,PASS [1951]
1789,5.39,way,PATH OR ROAD [2457]
1790,5.39,laughter,LAUGHTER [2958]
1791,5.39,windy,WINDY [3758]
1792,5.39,spot,SPOT [519]
1793,5.37,web,SPIDER WEB [1065]
1794,5.37,earth,EARTH (SOIL) [1228]
1795,5.37,candle,CANDLE [1273]
1796,5.37,sauce,SAUCE [132]
1797,5.37,tool,TOOL [1361]
1798,5.37,soup,SOUP [1547]
1799,5.37,mind,MIND [1562]
1800,5.37,correct,CORRECT (RIGHT) [1725]
1801,5.37,magician,MAGICIAN [2137]
1802,5.37,puddle,PUDDLE [2290]
1803,5.37,skate,SKATE [3129]
1804,5.37,barefooted,BAREFOOT [3737]
1805,5.37,disappear,DISAPPEAR [485]
1806,5.37,death,DEATH [910]
1807,5.3585,how,HOW [1239]
1808,5.3585,if,IF [1459]
1809,5.3585,seven,SEVEN [1704]
1810,5.3585,eight,EIGHT [1705]
1811,5.3585,saw,SAW [1948]
1812,5.35,earthworm,EARTHWORM [2350]
1813,5.35,robot,ROBOT [4006]
1814,5.33,salty,SALTY [1091]
1815,5.33,other,OTHER [197]
1816,5.33,flag,FLAG [2623]
1817,5.33,raspberry,RASPBERRY [3803]
1818,5.33,noisy,NOISY [3883]
1819,5.33,bless,BLESS [391]
1820,5.33,garden,GARDEN [586]
1821,5.33,heat,HEAT [612]
1822,5.33,ship,SHIP [740]
1823,5.33,jaw,JAW [798]
1824,5.32,allow,PERMIT [1003]
1825,5.32,needle,NEEDLE (FOR SEWING) [1382]
1826,5.32,clay,CLAY [1399]
1827,5.32,beetle,BEETLE [2242]
1828,5.32,gate,GATE [2940]
1829,5.32,guitar,GUITAR [3090]
1830,5.32,rake,RAKE [338]
1831,5.32,hay,HAY [342]
1832,5.32,windmill,WINDMILL [3841]
1833,5.32,skunk,SKUNK [3888]
1834,5.32,shy,SHY [487]
1835,5.32,world,WORLD [965]
1836,5.305215,back,BACK [1291]
1837,5.305215,zero,ZERO [1294]
1838,5.305215,early,EARLY [672]
1839,5.3,yawn,YAWN [1028]
1840,5.3,climb,CLIMB [1102]
1841,5.3,cloth,CLOTH [1616]
1842,5.3,break,BREAK (DESTROY OR GET DESTROYED) [680]
1843,5.297516,noodles,NOODLE [973]
1844,5.28,undress,UNDRESS [1755]
1845,5.28,crab,CRAB [2348]
1846,5.28,late,LATE [477]
1847,5.28,bottom,BOTTOM [690]
1848,5.28,repeat,REPEAT [880]
1849,5.262587,their,THEIR [2400]
1850,5.262587,still,STILL (CONTINUING) [2919]
1851,5.26,grandchild,GRANDCHILD [1617]
1852,5.26,shake,SHAKE [1909]
1853,5.26,pick,PICK [2148]
1854,5.26,happen,HAPPEN [248]
1855,5.26,prince,PRINCE (RULER) [2554]
1856,5.26,helicopter,HELICOPTER [2580]
1857,5.26,painting,PICTURE (PAINTING) [3303]
1858,5.26,jungle,JUNGLE [3808]
1859,5.26,drive,DRIVE [741]
1860,5.26,stomach,STOMACH [819]
1861,5.26,boring,BORING [905]
1862,5.25193,now,NOW [1376]
1863,5.25193,six,SIX [1703]
1864,5.25193,there,THERE [1937]
1865,5.25193,tight,TIGHT [3053]
1866,5.25193,nobody,NOBODY [3887]
1867,5.25,radish,RADISH [2365]
1868,5.25,ribbon,RIBBON [2969]
1869,5.24,year,YEAR [1226]
1870,5.22,wagon,CART [122]
1871,5.22,chain,CHAIN [1627]
1872,5.22,amazing,AMAZING [1863]
1873,5.22,cradle,CRADLE [2946]
1874,5.22,postman,POSTMAN [3095]
1875,5.22,rag,RAG [332]
1876,5.22,dentist,DENTIST [3876]
1877,5.22,sweater,SWEATER [4035]
1878,5.22,fur,FUR [580]
1879,5.22,shell,SHELL [598]
1880,5.22,land,LAND [626]
1881,5.21,beaver,BEAVER [1194]
1882,5.21,goat,GOAT [1502]
1883,5.21,nut,NUT [191]
1884,5.21,corner,CORNER [192]
1885,5.21,free,FREE [2316]
1886,5.21,birth,BIRTH (ACCOUCHEMENT) [2805]
1887,5.21,jingle,JINGLE (INSTRUMENT) [3993]
1888,5.209302,frost,FROST [2034]
1889,5.209302,own,OWN [684]
1890,5.209302,nothing,NOTHING [687]
1891,5.209302,berry,BERRY [904]
1892,5.2,joke,JOKE [3425]
1893,5.2,broccoli,BROCCOLI [3726]
1894,5.187988,tomorrow,TOMORROW [1329]
1895,5.187988,front,FRONT (PART) [2194]
1896,5.17,fairy,FAIRY [1138]
1897,5.17,bark,BARK [1204]
1898,5.17,heart,HEART [1223]
1899,5.17,radio,RADIO [1315]
1900,5.17,dead,DEAD [1625]
1901,5.17,deer,DEER [1936]
1902,5.17,caterpillar,CATERPILLAR [2247]
1903,5.17,dummy,PACIFIER [3087]
1904,5.17,swallow,SWALLOW [897]
1905,5.17,love,LOVE [923]
1906,5.16,tent,TENT [1316]
1907,5.16,skinny,THIN (SLIM) [1400]
1908,5.16,itchy,ITCHY [149]
1909,5.16,fisherman,FISHERMAN [1858]
1910,5.16,touch,TOUCH [1892]
1911,5.16,pond,POND [2035]
1912,5.16,ink,INK [2643]
1913,5.16,photo,PICTURE (PHOTOGRAPH) [3304]
1914,5.16,carry,CARRY [700]
1915,5.16,time,TIME [892]
1916,5.15,goose,GOOSE [1187]
1917,5.15,church,CHURCH [1349]
1918,5.15,fat,FAT (ORGANIC SUBSTANCE) [323]
1919,5.14536,child,CHILD [2099]
1920,5.14536,so,OF THIS KIND (SUCH) [2336]
1921,5.11,feel,FEEL [1079]
1922,5.11,follow,FOLLOW [1085]
1923,5.11,town,TOWN [1391]
1924,5.11,week,WEEK [1469]
1925,5.11,rat,RAT [1490]
1926,5.11,branch,BRANCH [1531]
1927,5.11,money,MONEY [1559]
1928,5.11,be,BE [1579]
1929,5.11,dandelion,DANDELION [1800]
1930,5.11,crocodile,CROCODILE [1857]
1931,5.11,camel,CAMEL [1871]
1932,5.11,mix,MIX [2017]
1933,5.11,campfire,CAMPFIRE [2986]
1934,5.11,cheat,SWINDLE [3055]
1935,5.11,mop,MOP (SOMETHING) [3120]
1936,5.11,safe,SAFE [3762]
1937,5.11,nest,NEST [539]
1938,5.11,plastic,PLASTIC [654]
1939,5.11,part,PART [779]
1940,5.11,pen,PEN [794]
1941,5.11,hell,HELL [878]
1942,5.1,mattress,MATTRESS [105]
1943,5.1,bride,BRIDE [1266]
1944,5.1,toenail,TOENAIL [2662]
1945,5.1,add,ADD [2882]
1946,5.1,snake,SNAKE [730]
1947,5.092075,her,HER (GENITIVE OF SHE) [2474]
1948,5.09,throat,THROAT [1346]
1949,5.070761,never,NEVER [1656]
1950,5.06,ghost,GHOST [1175]
1951,5.06,neighbor,NEIGHBOUR [1332]
1952,5.06,spit,SPIT [1440]
1953,5.06,cheek,CHEEK [1730]
1954,5.06,dust,DUST [2]
1955,5.06,fill,FILL [2006]
1956,5.06,cage,CAGE [3283]
1957,5.06,powder,POWDER [3368]
1958,5.06,walrus,WALRUS [4007]
1959,5.06,spicy,SPICY [544]
1960,5.06,opposite,OPPOSITE [885]
1961,5.05,salt,SALT [1274]
1962,5.05,chest,CHEST [1592]
1963,5.05,hole,HOLE [1667]
1964,5.05,gift,GIFT [2982]
1965,5.05,itch,ITCH (CAUSE ITCHING OR FEEL ITCHY) [3855]
1966,5.05,motorcycle,MOTORCYCLE [638]
1967,5.05,police,POLICE [656]
1968,5.03879,we,WE [1212]
1969,5.017476,fox,FOX [1312]
1970,5.006819,those,THOSE (PLURAL OF THAT) [3985]
1971,5,open,OPEN [1156]
1972,5,spin,SPIN [121]
1973,5,bathe,BATHE [138]
1974,5,shadow,SHADE [1388]
1975,5,pour,POUR [1487]
1976,5,necklace,NECKLACE [1961]
1977,5,self,SELF [1993]
1978,5,fix,FIX [3074]
1979,5,giraffe,GIRAFFE [3089]
1980,5,sadness,SADNESS [3854]
1981,5,devil,DEVIL [3917]
1982,5,peanut,GROUNDNUT (PEANUT) [595]
1983,5,bee,BEE [665]
1984,5,roof,ROOF [769]
1985,4.974848,once,ONE TIME [374]
1986,4.953534,only,ONLY [1580]
1987,4.953534,each,EVERY (EACH) [3416]
1988,4.95,daughter,DAUGHTER [1357]
1989,4.95,fold,FOLD [1470]
1990,4.95,cousin,COUSIN [1643]
1991,4.95,library,LIBRARY [2428]
1992,4.95,curtain,CURTAIN [2621]
1993,4.95,rinse,RINSE [2904]
1994,4.95,mustard,MUSTARD [3181]
1995,4.95,tall,TALL [711]
1996,4.95,place,PLACE (POSITION) [723]
1997,4.95,woman,WOMAN [962]
1998,4.95,bow,BOW [994]
1999,4.94,coffee,COFFEE [1299]
2000,4.94,mouse,MOUSE [1491]
2001,4.94,alone,ALONE [1964]
2002,4.94,sleeve,SLEEVE [2953]
2003,4.94,string,STRING [362]
2004,4.94,storm,STORM [858]
2005,4.94,spinach,SPINACH [975]
2006,4.93222,this,THIS [1214]
2007,4.93222,down,DOWN [1326]
2008,4.93222,four,FOUR [1500]
2009,4.921563,someone,SOMEONE [2422]
2010,4.91,dinosaur,DINOSAUR [4021]
2011,4.900249,very,VERY [1311]
2012,4.900249,behind,BEHIND [1686]
2013,4.9,bush,BUSH [1683]
2014,4.9,river,RIVER [666]
2015,4.89,hope,HOPE [1092]
2016,4.89,thunder,THUNDER [1150]
2017,4.89,mirror,MIRROR [1171]
2018,4.89,medicine,MEDICINE [1372]
2019,4.89,gum,GUMS [139]
2020,4.89,freeze,FREEZE [1431]
2021,4.89,tear,TEAR (OF EYE) [1651]
2022,4.89,write,WRITE [1672]
2023,4.89,sour,SOUR [1906]
2024,4.89,gentle,GENTLE [1954]
2025,4.89,bunch,BUNCH [1966]
2026,4.89,ground,GROUND [2159]
2027,4.89,wire,WIRE [2631]
2028,4.89,colorful,COLORFUL [2997]
2029,4.89,kind,KIND [3299]
2030,4.89,liar,LIAR [3470]
2031,4.89,unhappy,UNHAPPY [3974]
2032,4.89,dish,DISH [481]
2033,4.89,piece,PIECE [594]
2034,4.89,ankle,ANKLE [803]
2035,4.89,poisonous,POISONOUS [888]
2036,4.89,garbage,GARBAGE [909]
2037,4.89,blood,BLOOD [946]
2038,4.88,dream,DREAM [2374]
2039,4.878935,far,FAR [1406]
2040,4.878935,they,THEY [817]
2041,4.85,line,LINE [1048]
2042,4.85,bat,BAT [1793]
2043,4.846964,some,SOME [1241]
2044,4.84,horn,HORN (ANATOMY) [1393]
2045,4.84,begin,BEGIN [1806]
2046,4.84,size,SIZE (OF OBJECT) [2845]
2047,4.84,ladybug,LADYBUG [3139]
2048,4.84,untie,UNTIE [352]
2049,4.84,potato,POTATO [593]
2050,4.84,beard,BEARD [678]
2051,4.84,share,SHARE [884]
2052,4.83,darkness,DARKNESS [11]
2053,4.83,moon,MOON [1313]
2054,4.83,voice,VOICE [1363]
2055,4.83,wipe,WIPE [1454]
2056,4.83,unicorn,UNICORN [2601]
2057,4.82565,soon,SOON [703]
2058,4.804336,sixteen,SIXTEEN [2454]
2059,4.8,elephant,ELEPHANT [1290]
2060,4.8,mask,MASK [2005]
