id,age_of_acquisition,word,concept
2061,4.8,beach,BEACH [3460]
2062,4.79,wing,WING [1257]
2063,4.79,fear,FEAR (BE AFRAID) [1419]
2064,4.79,pull,PULL [1455]
2065,4.79,empty,EMPTY [1624]
2066,4.79,zebra,ZEBRA [3675]
2067,4.79,roar,ROAR [3896]
2068,4.79,sandwich,SANDWICH [4008]
2069,4.79,grow,GROW [479]
2070,4.78,forget,FORGET [1523]
2071,4.78,alligator,ALLIGATOR [1581]
2072,4.78,button,BUTTON [757]
2073,4.78,witch,WITCH [824]
2074,4.78,pumpkin,PUMPKIN [864]
2075,4.78,elbow,ELBOW [981]
2076,4.772365,today,TODAY [1283]
2077,4.772365,inside,INSIDE [1606]
2078,4.76,lightning,LIGHTNING [1654]
2079,4.76,store,STORE [752]
2080,4.75,round,ROUND [1395]
2081,4.75,hit,HIT [1433]
2082,4.75,think,THINK [2271]
2083,4.75,insect,INSECT [620]
2084,4.74,call,CALL [1084]
2085,4.74,cross,CROSS [1367]
2086,4.74,window,WINDOW [1375]
2087,4.74,sea,SEA [1474]
2088,4.74,meal,MEAL [1526]
2089,4.74,letter,LETTER [1612]
2090,4.74,choose,CHOOSE [1750]
2091,4.74,meet,MEET [1831]
2092,4.74,pocket,POCKET [1851]
2093,4.74,tie,TIE [1917]
2094,4.74,lemon,LEMON [3091]
2095,4.74,lift,LIFT [501]
2096,4.74,ocean,OCEAN [645]
2097,4.74,farmer,FARMER [979]
2098,4.72,ox,OX [1169]
2099,4.72,new,NEW [1231]
2100,4.72,rule,RULE [1846]
2101,4.72,burn,BURN [2102]
2102,4.72,fishing,FISHING [2638]
2103,4.72,pan,PAN [31]
2104,4.72,shower,SHOWER (ACTION) [3128]
2105,4.72,side,SIDE [682]
2106,4.72,seed,SEED [714]
2107,4.72,shout,SHOUT [715]
2108,4.71,fall,FALL [1280]
2109,4.7,doorknob,DOORKNOB [4030]
2110,4.7,claw,CLAW [72]
2111,4.7,low,LOW [721]
2112,4.697766,middle,MIDDLE [1093]
2113,4.68,born,BE BORN [1090]
2114,4.68,second,SECOND [1384]
2115,4.68,granddaughter,GRANDDAUGHTER [1619]
2116,4.68,adult,ADULT [3635]
2117,4.68,naked,NAKED [590]
2118,4.68,make,MAKE [734]
2119,4.67,glue,GLUE [1069]
2120,4.67,feather,FEATHER [1201]
2121,4.67,hold,HOLD [1448]
2122,4.67,burp,BURP [2789]
2123,4.67,cone,CONE [287]
2124,4.67,slap,SLAP [3160]
2125,4.67,ride,RIDE [367]
2126,4.67,person,PERSON [683]
2127,4.67,teach,TEACH [709]
2128,4.65,warm,WARM [1232]
2129,4.65,mail,MAIL [167]
2130,4.65,afternoon,AFTERNOON [1807]
2131,4.65,sailboat,SAILBOAT [4026]
2132,4.644481,TRUE,TRUE [1657]
2133,4.63,telephone,TELEPHONE [1379]
2134,4.63,dance,DANCE [1879]
2135,4.63,knock,KNOCK [2396]
2136,4.63,polite,POLITE [3300]
2137,4.63,sand,SAND [671]
2138,4.63,drum,DRUM [908]
2139,4.63,wear,WEAR [976]
2140,4.62,tired,TIRED [1757]
2141,4.62,mat,MAT [195]
2142,4.62,move,MOVE [765]
2143,4.62,belt,BELT [772]
2144,4.61,young,YOUNG [1207]
2145,4.61,danger,DANGER [1810]
2146,4.61,rug,RUG [292]
2147,4.61,argue,QUARREL (VERB) [3302]
2148,4.61,corn,MAIZE [506]
2149,4.61,lake,LAKE [624]
2150,4.61,catch,CATCH [702]
2151,4.61,tomato,TOMATO [986]
2152,4.601853,many,MANY [1198]
2153,4.601853,but,BUT [3843]
2154,4.6,silence,SILENCE [3458]
2155,4.6,doctor,PHYSICIAN [597]
2156,4.6,leaf,LEAF [628]
2157,4.580539,yesterday,YESTERDAY [1174]
2158,4.580539,third,THIRD [1859]
2159,4.580539,much,MUCH [3452]
2160,4.58,high,HIGH [1265]
2161,4.58,street,STREET [1362]
2162,4.58,fist,FIST [1473]
2163,4.58,wood,WOOD [1803]
2164,4.58,cool,COLD (OF WEATHER) [2483]
2165,4.58,sunshine,SUNSHINE [3276]
2166,4.58,thing,THING [738]
2167,4.58,strong,STRONG [785]
2168,4.58,must,MUST [971]
2169,4.569882,and,AND [1577]
2170,4.56,scissor,CUT (WITH SCISSORS) [2155]
2171,4.56,pretend,PRETEND [3631]
2172,4.55,teacher,TEACHER [1038]
2173,4.55,dirty,DIRTY [1230]
2174,4.55,point,POINT (WITH FINGER) [2669]
2175,4.55,road,ROAD [667]
2176,4.548568,above,ABOVE [1741]
2177,4.537911,loud,LOUD [377]
2178,4.53,bull,BULL [1008]
2179,4.53,ring,RING [1374]
2180,4.53,die,DIE [1494]
2181,4.53,let,CAUSE TO (LET) [2896]
2182,4.53,stinky,STINKING [42]
2183,4.53,pin,PIN [64]
2184,4.53,sweet,SWEET [717]
2185,4.53,stranger,STRANGER [791]
2186,4.50594,five,FIVE [493]
2187,4.5,close,SHUT [1046]
2188,4.5,noise,NOISE [1182]
2189,4.5,shoulder,SHOULDER [1482]
2190,4.5,dumb,DUMB [1492]
2191,4.5,use,USE (VERB) [2072]
2192,4.5,rattle,RATTLE [300]
2193,4.5,barn,BARN OR SHED [3025]
2194,4.5,sofa,SOFA [3099]
2195,4.5,scissors,SHEARS [356]
2196,4.5,know,KNOW [3626]
2197,4.5,wolf,WOLF [522]
2198,4.484626,twelve,TWELVE [1707]
2199,4.48,skin,SKIN [763]
2200,4.47,sink,SINK (DESCEND) [1088]
2201,4.47,tongue,TONGUE [1205]
2202,4.47,uncle,UNCLE [1327]
2203,4.47,run,RUN [1519]
2204,4.47,hide,HIDE [2486]
2205,4.47,shape,SHAPE [3747]
2206,4.47,glass,GLASS [604]
2207,4.47,roll,ROLL [827]
2208,4.45,angry,ANGRY [1826]
2209,4.45,build,BUILD [1840]
2210,4.45,paint,PAINT (PIGMENTS) [647]
2211,4.441998,because,BECAUSE [1157]
2212,4.441998,with,WITH [1340]
2213,4.441998,from,FROM [693]
2214,4.44,squirrel,SQUIRREL [1628]
2215,4.44,floor,FLOOR [1632]
2216,4.44,learn,LEARN [504]
2217,4.44,hurry,HURRY [754]
2218,4.44,stone,STONE [857]
2219,4.43,cut,CUT [1432]
2220,4.42,queen,QUEEN [1306]
2221,4.42,clock,CLOCK [1323]
2222,4.42,knee,KNEE [1371]
2223,4.42,lion,LION [1386]
2224,4.42,keep,KEEP [1477]
2225,4.42,word,WORD [1599]
2226,4.42,truth,TRUTH [1638]
2227,4.42,thumb,THUMB [1781]
2228,4.42,silent,BE SILENT [48]
2229,4.42,meat,MEAT [634]
2230,4.42,bring,BRING [692]
2231,4.4,juice,JUICE [1499]
2232,4.4,stupid,STUPID [1518]
2233,4.4,wheel,WHEEL [710]
2234,4.39937,ladder,LADDER [1464]
2235,4.39937,it,IT [169]
2236,4.39,grandfather,GRANDFATHER [1383]
2237,4.39,stand,STAND [1442]
2238,4.39,table,TABLE [1775]
2239,4.39,hard,HARD [1884]
2240,4.388713,first,FIRST [728]
2241,4.38,winter,WINTER [1471]
2242,4.38,age,AGE [1789]
2243,4.37,take,TAKE [1749]
2244,4.37,balloon,BALLOON [3083]
2245,4.37,hamster,HAMSTER [3147]
2246,4.35,bump,SWELLING [1903]
2247,4.35,tickle,TICKLE (SOMEBODY) [3647]
2248,4.346085,right,RIGHT [1019]
2249,4.346085,you,YOU [1213]
2250,4.346085,next,NEXT [1354]
2251,4.346085,last,LAST (FINAL) [1529]
2252,4.346085,glasses,SPECTACLES [1898]
2253,4.346085,god,GOD [1944]
2254,4.346085,christmas,CHRISTMAS [2405]
2255,4.346085,our,OUR [780]
2256,4.33,summer,SUMMER [1342]
2257,4.33,cheese,CHEESE [1569]
2258,4.33,watch,WATCH [1650]
2259,4.33,toothbrush,TOOTHBRUSH [2579]
2260,4.32,elf,ELF [1037]
2261,4.32,short,SHORT [1645]
2262,4.32,sign,SIGN [1720]
2263,4.32,shiny,SHINY [3977]
2264,4.32,frog,FROG [503]
2265,4.32,ant,ANT [587]
2266,4.32,stove,STOVE [859]
2267,4.32,cough,COUGH [879]
2268,4.32,can,BE ABLE [972]
2269,4.3,box,BOX [1465]
2270,4.3,stink,SMELL (STINK) [1587]
2271,4.3,wait,WAIT (FOR) [1590]
2272,4.3,lick,LICK [319]
2273,4.3,glove,GLOVE [867]
2274,4.28,give,GIVE [1447]
2275,4.28,body,BODY [1480]
2276,4.28,kid,YOUNG GOAT (KID) [1972]
2277,4.28,bag,BAG [2468]
2278,4.28,bleed,BLEED [3615]
2279,4.28,lettuce,LETTUCE [3729]
2280,4.28,end,END (OF SPACE) [742]
2281,4.26,song,SONG [1096]
2282,4.26,change,CHANGE [1264]
2283,4.26,push,PUSH [1452]
2284,4.26,bowl,BOWL [1530]
2285,4.26,tell,TELL [1711]
2286,4.26,rainbow,RAINBOW [1733]
2287,4.26,pain,PAIN [1783]
2288,4.26,taste,TASTE (SOMETHING) [21]
2289,4.26,game,GAME [2467]
2290,4.26,whisper,WHISPER [55]
2291,4.26,bicycle,BICYCLE [747]
2292,4.26,wave,WAVE [978]
2293,4.25,sheep,SHEEP [1331]
2294,4.24,full,FULL [1429]
2295,4.239515,long,LONG [1203]
2296,4.239515,when,WHEN [1238]
2297,4.239515,two,TWO [1498]
2298,4.239515,forward,FORWARD [2912]
2299,4.239515,all,ALL [98]
2300,4.22,cook,COOK (SOMETHING) [1100]
2301,4.22,wrong,WRONG [1390]
2302,4.22,room,ROOM [1450]
2303,4.22,chin,CHIN [1510]
2304,4.22,heaven,HEAVEN [1565]
2305,4.22,rest,REST [168]
2306,4.22,smell,SMELL [2124]
2307,4.22,straw,STRAW [2299]
2308,4.22,watermelon,WATERMELON [2766]
2309,4.22,stairs,STAIRS [34]
2310,4.22,win,WIN [866]
2311,4.21,monkey,MONKEY [1350]
2312,4.21,peach,PEACH [2043]
2313,4.21,bench,BENCH [2584]
2314,4.21,strawberry,STRAWBERRY [3138]
2315,4.21,melon,MELON [507]
2316,4.2,sweep,SWEEP [230]
2317,4.2,scream,SCREAM (PRODUCE A CRY) [3809]
2318,4.196887,brown,BROWN [2409]
2319,4.19,dig,DIG [1418]
2320,4.18623,us,US (OBLIQUE CASE OF WE) [2310]
2321,4.17,turtle,TURTLE [112]
2322,4.17,swim,SWIM [1439]
2323,4.17,ugly,UGLY [1548]
2324,4.17,sneeze,SNEEZE [1621]
2325,4.17,sky,SKY [1732]
2326,4.17,coin,COIN [1867]
2327,4.17,feed,FEED [739]
2328,4.17,vegetable,VEGETABLES [924]
2329,4.16,want,WANT [1784]
2330,4.16,swing,SWING [3101]
2331,4.15,quiet,QUIET [1314]
2332,4.15,apple,APPLE [1320]
2333,4.15,knife,KNIFE [1352]
2334,4.15,horse,HORSE [615]
2335,4.15,slow,SLOW [701]
2336,4.15,lamb,LAMB [820]
2337,4.143602,or,OR [1014]
2338,4.14,throw,THROW [1456]
2339,4.11,step,STEP [1158]
2340,4.11,father,FATHER [1217]
2341,4.11,dry,DRY [1398]
2342,4.11,breathe,BREATHE [1407]
2343,4.11,turn,TURN [1588]
2344,4.11,television,TELEVISION [1788]
2345,4.11,draw,PAINTING [2001]
2346,4.11,refrigerator,REFRIGERATOR [3952]
2347,4.11,read,READ [724]
2348,4.11,snow,SNOW [784]
2349,4.11,square,SQUARE [850]
2350,4.100974,your,YOUR (SINGULAR) [732]
2351,4.1,play,PLAY [1413]
2352,4.090317,where,WHERE [1237]
2353,4.090317,pretty,GOOD-LOOKING [2410]
2354,4.06,kick,KICK [1135]
2355,4.06,white,WHITE [1335]
2356,4.06,pencil,PENCIL [2578]
2357,4.06,sticky,STICKY [3703]
2358,4.05,heavy,HEAVY [1210]
2359,4.05,belly,BELLY [1251]
2360,4.05,look,LOOK [1819]
2361,4.05,sick,SICK [1847]
2362,4.05,fish,FISH [227]
2363,4.05,picture,PICTURE [2401]
2364,4.05,chew,CHEW [321]
2365,4.05,pet,PET [3780]
2366,4.05,dress,DRESS [474]
2367,4.05,light,LIGHT (RADIATION) [630]
2368,4.05,mud,MUD [640]
2369,4.037032,at,AT [1461]
2370,4,fingernail,FINGERNAIL [1258]
2371,4,morning,MORNING [1339]
2372,4,wash,WASH [1453]
2373,4,color,COLOR [1613]
2374,4,girl,GIRL [1646]
2375,4,blow,BLOW (OF WIND) [175]
2376,4,hurt,HURT (SOMEBODY) [2411]
2377,4,lamp,LAMP [625]
2378,4,paper,PAPER [648]
2379,4,smoke,SMOKE (EXHAUST) [778]
2380,4,tiger,TIGER [846]
2381,4,candy,CANDY [874]
2382,4,train,TRAIN [900]
2383,4,pear,PEAR [922]
2384,3.99,dinner,DINNER (SUPPER) [1833]
2385,3.97309,why,WHY [1270]
2386,3.95,cold,COLD [1287]
2387,3.95,soft,SOFT [1856]
2388,3.95,pea,PEA [2025]
2389,3.95,turkey,TURKEY [2386]
2390,3.95,jacket,JACKET [2770]
2391,3.95,plant,PLANT (VEGETATION) [653]
2392,3.95,sugar,SUGAR [862]
2393,3.94,cow,COW [1007]
2394,3.94,rabbit,RABBIT [1136]
2395,3.94,number,NUMBER [1356]
2396,3.94,airplane,AIRPLANE [1597]
2397,3.94,air,AIR [27]
2398,3.94,grass,GRASS [606]
2399,3.94,yard,YARD [736]
2400,3.94,grape,GRAPE [920]
2401,3.9,bedroom,BEDROOM [2505]
2402,3.89,worm,WORM [1219]
2403,3.89,stick,STICK [1295]
2404,3.89,star,STAR [1430]
2405,3.89,top,TOP [1753]
2406,3.89,story,STORY [2060]
2407,3.89,bell,BELL [2246]
2408,3.89,boot,BOOT [585]
2409,3.89,school,SCHOOL [673]
2410,3.89,clean,CLEAN [704]
2411,3.89,egg,EGG [744]
2412,3.89,thirsty,THIRSTY [847]
2413,3.89,crawl,CRAWL [96]
2414,3.89,wind,WIND [960]
2415,3.887834,not,NOT [1240]
2416,3.86652,home,HOME [2406]
2417,3.861149,kids,CHILD (YOUNG HUMAN) [1304]
2418,3.86,ice,ICE [617]
2419,3.855863,what,WHAT [1236]
2420,3.85,bus,BUS [1070]
2421,3.85,farm,FARM [201]
2422,3.84,baby,BABY [1289]
2423,3.84,pig,PIG [1337]
2424,3.84,boat,BOAT [1844]
2425,3.84,spill,SPILL (SOMETHING) [3130]
2426,3.84,plate,PLATE [480]
2427,3.83,dirt,DIRT [25]
2428,3.83,eyeball,EYEBALL [3807]
2429,3.813235,he,HE [1211]
2430,3.813235,who,WHO [1235]
2431,3.81,music,MUSIC [642]
2432,3.8,aunt,AUNT [1272]
2433,3.8,hear,HEAR [1408]
2434,3.8,pink,PINK [3446]
2435,3.79,bug,BUG [1027]
2436,3.79,laugh,LAUGH [1355]
2437,3.79,green,GREEN [1425]
2438,3.79,thank,THANK (SOMEBODY) [2412]
2439,3.79,scared,SCARED [3033]
2440,3.79,bubble,BUBBLE [3689]
2441,3.79,truck,TRUCK [4011]
2442,3.79,lip,LIP [478]
2443,3.79,wall,WALL (OF HOUSE) [933]
2444,3.781264,more,MORE [1992]
2445,3.78,son,SON [1620]
2446,3.78,brush,BRUSH [1821]
2447,3.78,banana,BANANA [868]
2448,3.75995,hello,HELLO [3553]
2449,3.75,eye,EYE [1248]
2450,3.75,lie,LIE (REST) [1411]
2451,3.75,face,FACE [1560]
2452,3.74,dark,DARK [706]
2453,3.738636,here,HERE [136]
2454,3.738636,fast,FAST [1631]
2455,3.72,old,OLD [1229]
2456,3.72,sound,SOUND (OF INSTRUMENT OR VOICE) [2879]
2457,3.72,clown,CLOWN [4020]
2458,3.72,have,HAVE [773]
2459,3.72,rice,RICE [926]
2460,3.72,put,PUT [998]
2461,3.7,tail,TAIL [1220]
2462,3.685351,like,LIKE [1117]
2463,3.685351,in,IN [1460]
2464,3.685351,his,HIS (GENITIVE OF HE) [2473]
2465,3.685351,three,THREE [492]
2466,3.68,cat,CAT [1208]
2467,3.68,sister,SISTER [1263]
2468,3.68,kitchen,KITCHEN [1365]
2469,3.68,name,NAME [1405]
2470,3.68,red,RED [156]
2471,3.68,doll,DOLL [1659]
2472,3.68,lady,LADY [2471]
2473,3.68,talk,TALK [2708]
2474,3.68,book,BOOK [963]
2475,3.67,boy,BOY [1366]
2476,3.67,circle,CIRCLE [1467]
2477,3.67,grandmother,GRANDMOTHER [1496]
2478,3.67,butterfly,BUTTERFLY [1791]
2479,3.67,splash,SPLASH [365]
2480,3.65,help,HELP [1897]
2481,3.63,ear,EAR [1247]
2482,3.63,brother,BROTHER [1262]
2483,3.63,fork,FORK [1302]
2484,3.63,cloud,CLOUD [1489]
2485,3.63,fruit,FRUIT [1507]
2486,3.63,hungry,BE HUNGRY [1533]
2487,3.61,night,NIGHT [1233]
2488,3.61,tooth,TOOTH [1380]
2489,3.61,kiss,KISS [578]
2490,3.61,lunch,LUNCH [768]
2491,3.61,blanket,BLANKET [806]
2492,3.6,purple,PURPLE [2452]
2493,3.6,rain,RAIN (PRECIPITATION) [658]
2494,3.6,do,DO [813]
2495,3.58,bread,BREAD [1368]
2496,3.58,bite,BITE [1403]
2497,3.58,key,KEY [1472]
2498,3.58,bear,BEAR [1820]
2499,3.58,coat,COAT [603]
2500,3.58,mouth,MOUTH [674]
2501,3.578781,ten,TEN [1515]
2502,3.578781,outside,OUTSIDE [762]
2503,3.57,friend,FRIEND [1325]
2504,3.57,cup,CUP [476]
2505,3.57,tree,TREE [906]
2506,3.568124,she,SHE [1834]
2507,3.56,bottle,BOTTLE [1321]
2508,3.56,speak,SPEAK [1623]
2509,3.56,black,BLACK [163]
2510,3.56,movie,MOVIE [216]
2511,3.56,need,NEED (SOMETHING) [2339]
2512,3.55,good,GOOD [1035]
2513,3.55,mad,MAD [1899]
2514,3.54,toilet,TOILET [219]
2515,3.53,shirt,SHIRT [1622]
2516,3.53,blue,BLUE [837]
2517,3.52,people,PEOPLE [789]
2518,3.52,bird,BIRD [937]
2519,3.51,smile,SMILE [1451]
2520,3.5,day,DAY (NOT NIGHT) [1225]
2521,3.5,duck,DUCK [1360]
2522,3.482868,please,DELIGHT [1271]
2523,3.47,pillow,PILLOW [1044]
2524,3.47,sing,SING [1261]
2525,3.47,breakfast,BREAKFAST [1322]
2526,3.47,drink,DRINK [1401]
2527,3.47,sit,SIT [1416]
2528,3.47,snowman,SNOWMAN [3098]
2529,3.47,hill,HILL [614]
2530,3.45,walk,WALK [1443]
2531,3.44,foot,FOOT [1301]
2532,3.44,try,TRY [1812]
2533,3.44,sorry,REGRET [1875]
2534,3.43,finger,FINGER [1303]
2535,3.43,chair,CHAIR [1476]
2536,3.43,spider,SPIDER [843]
2537,3.42,head,HEAD [1256]
2538,3.42,say,SAY [1458]
2539,3.42,bean,BEAN [832]
2540,3.4,sun,SUN [1343]
2541,3.4,clap,CLAP [3110]
2542,3.38,family,FAMILY [194]
2543,3.37,car,CAR [1111]
2544,3.37,hot,HOT [1286]
2545,3.37,sleepy,SLEEPY [3620]
2546,3.37,milk,MILK [635]
2547,3.37,go,GO [695]
2548,3.33,chocolate,CHOCOLATE [3873]
2549,3.33,hat,HAT [771]
2550,3.32,come,COME [1446]
2551,3.280385,out,GO OUT [1107]
2552,3.280385,me,ME [2301]
2553,3.280385,fell,CUT DOWN [355]
2554,3.28,puppy,PUPPY [74]
2555,3.26,chicken,CHICKEN [1318]
2556,3.26,arm,ARM [1673]
2557,3.26,cake,CAKE [2408]
2558,3.26,orange,ORANGE (FRUIT) [2627]
2559,3.26,drop,DROP [750]
2560,3.25,fire,FIRE [221]
2561,3.25,food,FOOD [256]
2562,3.24,sad,SAD [699]
2563,3.2271,nine,NINE [1483]
2564,3.2271,one,ONE [1493]
2565,3.22,towel,TOWEL [1021]
2566,3.22,small,SMALL [1246]
2567,3.22,bathtub,BATHTUB [4027]
2568,3.22,rock,ROCK [668]
2569,3.2,yellow,YELLOW [1424]
2570,3.17,hair,HAIR [1040]
2571,3.17,get,GET [694]
2572,3.17,soap,SOAP [788]
2573,3.16,house,HOUSE [1252]
2574,3.15,lap,LAP [3263]
2575,3.11,man,MAN [1554]
2576,3.11,clothes,CLOTHES [1895]
2577,3.11,flower,FLOWER [239]
2578,3.06,see,SEE [1409]
2579,3.05,fly,FLY (MOVE THROUGH AIR) [1441]
2580,3.05,door,DOOR [1567]
2581,3,leg,LEG [1297]
2582,3,neck,NECK [1333]
2583,3,toe,TOE [1389]
2584,3,toy,TOY [2403]
2585,2.95,nose,NOSE [1221]
2586,2.94,sock,SOCK [1522]
2587,2.918047,up,UP [1591]
2588,2.9,ball,BALL [1845]
2589,2.89,big,BIG [1202]
2590,2.89,ask,ASK (INQUIRE) [1309]
2591,2.89,bed,BED [1663]
2592,2.89,stop,HALT (STOP) [2880]
2593,2.89,animal,ANIMAL [619]
2594,2.85,birthday,BIRTHDAY [2407]
2595,2.84,jump,JUMP [1829]
2596,2.8,dog,DOG [2009]
2597,2.790163,I,I [1209]
2598,2.79,bad,BAD [1292]
2599,2.79,sleep,SLEEP [1585]
2600,2.78,eat,EAT [1336]
2601,2.78,cry,CRY [1839]
2602,2.74,hand,HAND [1277]
2603,2.74,carrot,CARROT [3085]
2604,2.72,happy,HAPPY [1495]
2605,2.715564,no,NO [1269]
2606,2.715564,my,MY [2090]
2607,2.63,mother,MOTHER [1216]
2608,2.61,count,COUNT [1420]
2609,2.6,shoe,SHOE [1381]
2610,2.58,hug,EMBRACE [928]
2611,2.5,spoon,SPOON [1378]
2612,2.47,wet,WET [1726]
2613,2.37,water,WATER [948]
2614,2.310598,yes,YES [1268]